Q115763181 | TOO_SMALL | 398x467
Q115857000 | TOO_SMALL | 382x454
Q116909515 | SKIPPED_OBJECT | big swoop december 2022 the sculpture <i>big swoop</i> in garema place in civic 
Q125947841 | SKIPPED_OBJECT | the new york-dublin portal the <a href="https://en.wikipedia.org/wiki/new_york-d
Q130973914 | SKIPPED_OBJECT | nashua city hall the city of nashua's city hall with the president john f. kenne
Q134106656 | SKIPPED_OBJECT | surrealist sculpture made of bones left over from a dinner party (51893663379) n
Q136750877 | SKIPPED_OBJECT | fr-48-mende24 jean-baptiste champeil (french, 1866-1913): <i>monument to théophi
Q136752772 | SKIPPED_OBJECT | fr-48-mende04 mende, bust of jean-antoine chaptal in <a rel="nofollow" class="ex
Q112811074 | SKIPPED_OBJECT | statue de santa monica (eugene morahan) en juillet 2022 statue de santa monica (
Q247262 | TOO_SMALL | 296x440
Q1994882 | SKIPPED_OBJECT | rotterdam monument operatie manna the photographical reproduction of this work i
Q2187602 | SKIPPED_OBJECT | richard serra sealevel1 sealevel (south-west part) by <a href="//commons.wikimed
Q2432269 | SKIPPED_OBJECT | les grandes formes kunstwerk <a href="https://nl.wikipedia.org/wiki/les_grandes_
Q2499655 | SKIPPED_OBJECT | ufo air strip (29646824180) ng-t-120.jpg airfields in the netherlands|photograph
Q2547015 | SKIPPED_OBJECT | zuilvanlely zuil van lely in het centrum van lelystad, made by hans va houweling
Q2611311 | TOO_SMALL | 350x239
Q2679485 | SKIPPED_OBJECT | swing01 swing, kunstwerk van arie berkulin, in eindhoven (gestel) arie berkulin|
Q13927481 | SKIPPED_OBJECT | hi-ambacht-kunstwerk-oost-west-thuis-best hendrik-ido-ambacht, rietlaan/laan van
Q15857738 | TOO_SMALL | 1187x448
Q16654400 | SKIPPED_OBJECT | tabouret vue lac la mi-hauteur de la suisse est écrite sur le dessus du tabouret
Q18203256 | SKIPPED_OBJECT | venus victris auguste renoir pp <i>venus victrix</i>, statue en bronze grandeur 
Q18785534 | SKIPPED_OBJECT | rodolphe-cintorino-the-hood installation de rodolphe cintorino dans l'abattoir d
Q20101656 | SKIPPED_OBJECT | obra record d'un malson de joan brossa poema objecte que l'artista joan brossa v
Q20664518 | SKIPPED_OBJECT | waiting iii waiting iii, new times square, taipei items with vrts permission con
Q20888383 | SKIPPED_OBJECT | willem oorebeek - the individual parallel - bilderberg utopia 01 willem oorebeek
Q3091465 | SKIPPED_OBJECT | lumc-rotonde the sculpture trafficosaurus luminoso on the lumc-roundabout (leide
Q3330442 | SKIPPED_OBJECT | walter de maria, the lightning field, 1977 (7873321374) <p>the lightning field (
Q3513495 | SKIPPED_OBJECT | tables - michel goulet - 04 sculpture de michel goulet intitulée <i>tables</i>, 
Q4937315 | SKIPPED_OBJECT | bog standard gallery bog standard gallery, at urbis, in manchester, uk. taken wi
Q5254472 | TOO_SMALL | 398x600
Q7597386 | SKIPPED_MIME | image/tiff
Q7763677 | TOO_SMALL | 399x391
Q7994734 | SKIPPED_OBJECT | the queen's beasts - the white greyhound of richmond the greyhound bears a shiel
Q63341576 | SKIPPED_OBJECT | lago lemán sculptures <i>jeunes filles jouant sur des hippocampes</i> by edouard
Q24568923 | SKIPPED_OBJECT | 83 la-plegaria-3 la era de rodin
colección museo soumaya pd us|la prière by augu
Q24943468 | SKIPPED_OBJECT | 104.1 psique contemplando al amor psique contemplando al amor artworks without w
Q25222778 | SKIPPED_OBJECT | statue of harriet tubman ypsilanti michigan statue commemorating harriet tubman,
Q25222815 | SKIPPED_OBJECT | resilience (sculpture) by cida de aragon, brisbane resilience (sculpture) by cid
Q4840816 | SKIPPED_MIME | image/svg+xml
Q17043327 | SKIPPED_OBJECT | godman salvin medal the godman salvin medal designed by allan g. wyon osbert sal
Q3713905 | TOO_SMALL | 550x402
Q56642182 | SKIPPED_OBJECT | under heaven 03 (1) under heaven 03; een kunstwerk van leonard van munster op ee
Q56696084 | SKIPPED_OBJECT | "אריה שואג" (1971) מאת לין צ'דוויק פסל lynn russell chadwick|sculptures in the b
Q56696090 | TOO_SMALL | 222x700
Q56696114 | SKIPPED_OBJECT | קובי מס' 6 פיסול taken with canon powershot s50|cubi vi (1963 by david smith)|sc
Q57597391 | SKIPPED_OBJECT | straatpoëzie tuindorp oostzaan straatpoëzie van toon tellegen in een ontwerp van
Q57838673 | SKIPPED_OBJECT | nelson's ship in a bottle by yinka shonibare <center>nelson's ship in a bottle<b
Q59119238 | SKIPPED_OBJECT | sculpturetorrecaballito3 sculpture in front of the torre del caballito in mexico
Q59497211 | SKIPPED_OBJECT | hippocampe, balustre - inv 2013.0 sculpture en couleurs, la sculpture polychrome
Q59510281 | SKIPPED_OBJECT | puebla, mexico (2018) - 433 puebla, mexico (2018) bust of plácido domingo, puebl
Q60228344 | SKIPPED_OBJECT | país de los volcanes, vista a la secretaría de relaciones exteriores de la cdmx,
Q60269794 | SKIPPED_OBJECT | vlucht van een kaketoe vlucht van een kaketoe van jeroen werner, met gebruik van
Q63763772 | SKIPPED_OBJECT | sandsteinskulptur fischer und familie (luigi zanini 1945) 01 sandsteinhochrelief
Q63809185 | SKIPPED_OBJECT | <div class="fn">
<i>rinaldo della luna </i></div>  cc-zero|uploaded with pattypa
Q63809235 | SKIPPED_OBJECT | <div class="fn">
<i>claude renoir ("coco") </i></div>  cc-zero|uploaded with pat
Q63809249 | SKIPPED_OBJECT | <div class="fn">
<i>la france </i></div>  cc-zero|uploaded with pattypan|artwork
Q63809263 | SKIPPED_OBJECT | <div class="fn">
<i>katherine seney simpson (mrs. john w. simpson) </i></div>  c
Q63809270 | SKIPPED_OBJECT | <div class="fn">
<i>morning </i></div>  cc-zero|uploaded with pattypan|artworks 
Q63809282 | SKIPPED_OBJECT | <div class="fn">
<i>mask of katherine seney simpson (mrs. john w. simpson) </i><
Q63809283 | SKIPPED_OBJECT | <div class="fn">
<i>hand of rodin with a female figure </i></div>  cc-zero|uploa
Q63809367 | SKIPPED_OBJECT | <div class="fn">
<i>a satyr and a bacchante (allegory of reproduction) </i></div
Q63809444 | SKIPPED_OBJECT | <div class="fn">
<i>bacchante </i></div>  cc-zero|uploaded with pattypan|artwork
Q63809451 | SKIPPED_OBJECT | <div class="fn">
<i>bacchante </i></div>  cc-zero|uploaded with pattypan|artwork
Q63809456 | SKIPPED_OBJECT | <div class="fn">
<i>bacchanal </i></div>  cc-zero|uploaded with pattypan|artwork
Q63809595 | SKIPPED_OBJECT | <div class="fn">
<i>saint peter </i></div>  cc-zero|uploaded with pattypan|artwo
Q63809619 | SKIPPED_OBJECT | <div class="fn">
<i>alexandre brongniart </i></div>  cc-zero|uploaded with patty
Q63809620 | SKIPPED_OBJECT | <div class="fn">
<i>louise brongniart </i></div>  louise brongniart|cc-zero|uplo
Q63810070 | SKIPPED_OBJECT | <div class="fn">
<i>the virgin of the annunciation </i></div>  cc-zero|uploaded 
Q25326971 | TOO_SMALL | 535x420
Q27038114 | TOO_SMALL | 512x416
Q27980474 | SKIPPED_OBJECT | laddningsplats för ljushuvuden laddningsplats för ljushuvuden (konstsoffor uppvä
Q28027474 | SKIPPED_OBJECT | barcelona frank gehrys peix this is a photo of public art indexed in the catalog
Q28035801 | SKIPPED_MIME | image/tiff
Q28114063 | SKIPPED_OBJECT | babylonokia clay model of an antique-looking mobile phone humor|21st-century scu
Q29014643 | SKIPPED_OBJECT | (venice) adolfo wildt - il puro folle - museo d'arte moderna  il puro folle (par
Q63854774 | SKIPPED_OBJECT | <div class="fn">
<i>père paillard </i></div>  cc-zero|uploaded with pattypan|scu
Q63854791 | SKIPPED_OBJECT | <div class="fn">
<i>torso of a young man </i></div>  cc-zero|uploaded with patty
Q63854819 | SKIPPED_OBJECT | <div class="fn">
<i>standing woman </i></div>  cc-zero|uploaded with pattypan|ar
Q63854820 | SKIPPED_OBJECT | <div class="fn">
<i>seated youth </i></div>  cc-zero|uploaded with pattypan|artw
Q63860724 | SKIPPED_OBJECT | <div class="fn">
<i>maternity: madame renoir and son </i></div>  cc-zero|uploade
Q63860725 | SKIPPED_OBJECT | <div class="fn">
<i>memorial relief (hand of a child)</i></div>  cc-zero|uploade
Q29467549 | SKIPPED_MIME | image/svg+xml
Q35866681 | SKIPPED_OBJECT | cactus modulaire 04 <i>cactus modulaire</i> est une sculpture de robert roussil 
Q37518698 | SKIPPED_OBJECT | feminine landscape 20 the sculpture titled feminine landscape (1972) by artist g
Q38252097 | SKIPPED_OBJECT | statue of morel campos picture of statue of juan morel campos - 1977 juan morel 
Q38252106 | SKIPPED_OBJECT | monumento a la abolición de la esclavitud, barrio cuarto, ponce, pr, close-up de
Q38252120 | SKIPPED_OBJECT | domingo cruz (cocolia) statue in plaza degetau, bo. segundo, ponce, pr (img 3079
Q40733116 | SKIPPED_OBJECT | san francisco - diosa de la democracia statue of goddess of democracy, portsmout
Q3937581 | SKIPPED_OBJECT | <div class="fn">
<div style="font-weight:bold;display:inline-block;"><div style=
Q3937634 | TOO_SMALL | 343x512
Q3937783 | TOO_SMALL | 210x356
Q49817158 | TOO_SMALL | 320x478
